2025-07-11 00:26:16.294 INFO  [main] org.example.TransfersApplication - Starting TransfersApplication using Java 23.0.2 with PID 25764 (C:\Users\jacsi\Desktop\Projects\JAVA SPRINGBOOT LEARN\fileSharer\AppwithPostgreSQL\target\classes started by jacsi in C:\Users\jacsi\Desktop\Projects\JAVA SPRINGBOOT LEARN\fileSharer\AppwithPostgreSQL)
2025-07-11 00:26:16.301 INFO  [main] org.example.TransfersApplication - No active profile set, falling back to 1 default profile: "default"
2025-07-11 00:26:17.523 INFO  [main] o.s.b.w.e.tomcat.TomcatWebServer - Tomcat initialized with port 8080 (http)
2025-07-11 00:26:17.539 INFO  [main] o.a.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8080"]
2025-07-11 00:26:17.539 INFO  [main] o.a.catalina.core.StandardService - Starting service [Tomcat]
2025-07-11 00:26:17.539 INFO  [main] o.a.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/10.1.42]
2025-07-11 00:26:17.593 INFO  [main] o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2025-07-11 00:26:17.593 INFO  [main] o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 1172 ms
2025-07-11 00:26:18.046 INFO  [main] o.a.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8080"]
2025-07-11 00:26:18.078 INFO  [main] o.s.b.w.e.tomcat.TomcatWebServer - Tomcat started on port 8080 (http) with context path '/'
2025-07-11 00:26:18.087 INFO  [main] org.example.TransfersApplication - Started TransfersApplication in 2.442 seconds (process running for 3.37)
2025-07-11 00:26:30.389 INFO  [SpringApplicationShutdownHook] o.s.b.w.e.tomcat.GracefulShutdown - Commencing graceful shutdown. Waiting for active requests to complete
2025-07-11 00:26:30.401 INFO  [tomcat-shutdown] o.s.b.w.e.tomcat.GracefulShutdown - Graceful shutdown complete
2025-07-11 00:27:39.933 INFO  [main] org.example.TransfersApplication - Starting TransfersApplication using Java 23.0.2 with PID 37180 (C:\Users\jacsi\Desktop\Projects\JAVA SPRINGBOOT LEARN\fileSharer\AppwithPostgreSQL\target\classes started by jacsi in C:\Users\jacsi\Desktop\Projects\JAVA SPRINGBOOT LEARN\fileSharer\AppwithPostgreSQL)
2025-07-11 00:27:39.936 INFO  [main] org.example.TransfersApplication - No active profile set, falling back to 1 default profile: "default"
2025-07-11 00:27:41.158 INFO  [main] o.s.b.w.e.tomcat.TomcatWebServer - Tomcat initialized with port 8080 (http)
2025-07-11 00:27:41.174 INFO  [main] o.a.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8080"]
2025-07-11 00:27:41.174 INFO  [main] o.a.catalina.core.StandardService - Starting service [Tomcat]
2025-07-11 00:27:41.174 INFO  [main] o.a.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/10.1.42]
2025-07-11 00:27:41.206 INFO  [main] o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2025-07-11 00:27:41.222 INFO  [main] o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 1133 ms
2025-07-11 00:27:41.664 INFO  [main] o.a.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8080"]
2025-07-11 00:27:41.692 INFO  [main] o.s.b.w.e.tomcat.TomcatWebServer - Tomcat started on port 8080 (http) with context path '/'
2025-07-11 00:27:41.701 INFO  [main] org.example.TransfersApplication - Started TransfersApplication in 2.428 seconds (process running for 3.261)
2025-07-11 00:27:59.774 INFO  [SpringApplicationShutdownHook] o.s.b.w.e.tomcat.GracefulShutdown - Commencing graceful shutdown. Waiting for active requests to complete
2025-07-11 00:27:59.787 INFO  [tomcat-shutdown] o.s.b.w.e.tomcat.GracefulShutdown - Graceful shutdown complete
2025-07-11 00:30:13.321 INFO  [main] org.example.TransfersApplication - Starting TransfersApplication using Java 23.0.2 with PID 2856 (C:\Users\jacsi\Desktop\Projects\JAVA SPRINGBOOT LEARN\fileSharer\AppwithPostgreSQL\target\classes started by jacsi in C:\Users\jacsi\Desktop\Projects\JAVA SPRINGBOOT LEARN\fileSharer\AppwithPostgreSQL)
2025-07-11 00:30:13.325 INFO  [main] org.example.TransfersApplication - No active profile set, falling back to 1 default profile: "default"
2025-07-11 00:30:14.852 INFO  [main] o.s.b.w.e.tomcat.TomcatWebServer - Tomcat initialized with port 8080 (http)
2025-07-11 00:30:14.874 INFO  [main] o.a.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8080"]
2025-07-11 00:30:14.876 INFO  [main] o.a.catalina.core.StandardService - Starting service [Tomcat]
2025-07-11 00:30:14.877 INFO  [main] o.a.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/10.1.42]
2025-07-11 00:30:14.925 INFO  [main] o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2025-07-11 00:30:14.925 INFO  [main] o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 1461 ms
2025-07-11 00:30:15.387 INFO  [main] o.a.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8080"]
2025-07-11 00:30:15.411 INFO  [main] o.s.b.w.e.tomcat.TomcatWebServer - Tomcat started on port 8080 (http) with context path '/'
2025-07-11 00:30:15.419 INFO  [main] org.example.TransfersApplication - Started TransfersApplication in 2.752 seconds (process running for 3.688)
2025-07-11 00:30:19.003 INFO  [SpringApplicationShutdownHook] o.s.b.w.e.tomcat.GracefulShutdown - Commencing graceful shutdown. Waiting for active requests to complete
2025-07-11 00:30:19.013 INFO  [tomcat-shutdown] o.s.b.w.e.tomcat.GracefulShutdown - Graceful shutdown complete
2025-07-11 00:34:40.370 INFO  [main] org.example.TransfersApplication - Starting TransfersApplication using Java 23.0.2 with PID 35972 (C:\Users\jacsi\Desktop\Projects\JAVA SPRINGBOOT LEARN\fileSharer\AppwithPostgreSQL\target\classes started by jacsi in C:\Users\jacsi\Desktop\Projects\JAVA SPRINGBOOT LEARN\fileSharer\AppwithPostgreSQL)
2025-07-11 00:34:40.372 INFO  [main] org.example.TransfersApplication - No active profile set, falling back to 1 default profile: "default"
2025-07-11 00:34:41.990 INFO  [main] o.s.b.w.e.tomcat.TomcatWebServer - Tomcat initialized with port 8080 (http)
2025-07-11 00:34:42.010 INFO  [main] o.a.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8080"]
2025-07-11 00:34:42.010 INFO  [main] o.a.catalina.core.StandardService - Starting service [Tomcat]
2025-07-11 00:34:42.010 INFO  [main] o.a.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/10.1.42]
2025-07-11 00:34:42.085 INFO  [main] o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2025-07-11 00:34:42.085 INFO  [main] o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 1568 ms
2025-07-11 00:34:42.742 INFO  [main] o.a.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8080"]
2025-07-11 00:34:42.757 INFO  [main] o.s.b.w.e.tomcat.TomcatWebServer - Tomcat started on port 8080 (http) with context path '/'
2025-07-11 00:34:42.773 INFO  [main] org.example.TransfersApplication - Started TransfersApplication in 3.125 seconds (process running for 4.075)
2025-07-11 00:35:01.257 INFO  [SpringApplicationShutdownHook] o.s.b.w.e.tomcat.GracefulShutdown - Commencing graceful shutdown. Waiting for active requests to complete
2025-07-11 00:35:01.267 INFO  [tomcat-shutdown] o.s.b.w.e.tomcat.GracefulShutdown - Graceful shutdown complete
2025-07-11 00:42:37.222 INFO  [main] org.example.TransfersApplication - Starting TransfersApplication using Java 23.0.2 with PID 5700 (C:\Users\jacsi\Desktop\Projects\JAVA SPRINGBOOT LEARN\fileSharer\AppwithPostgreSQL\target\classes started by jacsi in C:\Users\jacsi\Desktop\Projects\JAVA SPRINGBOOT LEARN\fileSharer\AppwithPostgreSQL)
2025-07-11 00:42:37.222 INFO  [main] org.example.TransfersApplication - No active profile set, falling back to 1 default profile: "default"
2025-07-11 00:42:38.482 INFO  [main] o.s.b.w.e.tomcat.TomcatWebServer - Tomcat initialized with port 8080 (http)
2025-07-11 00:42:38.498 INFO  [main] o.a.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8080"]
2025-07-11 00:42:38.498 INFO  [main] o.a.catalina.core.StandardService - Starting service [Tomcat]
2025-07-11 00:42:38.514 INFO  [main] o.a.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/10.1.42]
2025-07-11 00:42:38.562 INFO  [main] o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2025-07-11 00:42:38.562 INFO  [main] o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 1201 ms
2025-07-11 00:42:39.039 INFO  [main] o.a.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8080"]
2025-07-11 00:42:39.055 INFO  [main] o.s.b.w.e.tomcat.TomcatWebServer - Tomcat started on port 8080 (http) with context path '/'
2025-07-11 00:42:39.071 INFO  [main] org.example.TransfersApplication - Started TransfersApplication in 2.594 seconds (process running for 3.608)
2025-07-11 00:43:02.699 INFO  [SpringApplicationShutdownHook] o.s.b.w.e.tomcat.GracefulShutdown - Commencing graceful shutdown. Waiting for active requests to complete
2025-07-11 00:43:02.701 INFO  [tomcat-shutdown] o.s.b.w.e.tomcat.GracefulShutdown - Graceful shutdown complete
2025-07-11 00:51:17.298 INFO  [main] org.example.TransfersApplication - Starting TransfersApplication using Java 23.0.2 with PID 50212 (C:\Users\jacsi\Desktop\Projects\JAVA SPRINGBOOT LEARN\fileSharer\AppwithPostgreSQL\target\classes started by jacsi in C:\Users\jacsi\Desktop\Projects\JAVA SPRINGBOOT LEARN\fileSharer\AppwithPostgreSQL)
2025-07-11 00:51:17.306 INFO  [main] org.example.TransfersApplication - No active profile set, falling back to 1 default profile: "default"
2025-07-11 00:51:18.513 INFO  [main] o.s.b.w.e.tomcat.TomcatWebServer - Tomcat initialized with port 8080 (http)
2025-07-11 00:51:18.532 INFO  [main] o.a.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8080"]
2025-07-11 00:51:18.532 INFO  [main] o.a.catalina.core.StandardService - Starting service [Tomcat]
2025-07-11 00:51:18.532 INFO  [main] o.a.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/10.1.42]
2025-07-11 00:51:18.592 INFO  [main] o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2025-07-11 00:51:18.592 INFO  [main] o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 1170 ms
2025-07-11 00:51:19.100 INFO  [main] o.a.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8080"]
2025-07-11 00:51:19.132 INFO  [main] o.s.b.w.e.tomcat.TomcatWebServer - Tomcat started on port 8080 (http) with context path '/'
2025-07-11 00:51:19.132 INFO  [main] org.example.TransfersApplication - Started TransfersApplication in 2.451 seconds (process running for 3.361)
2025-07-11 00:51:58.096 INFO  [SpringApplicationShutdownHook] o.s.b.w.e.tomcat.GracefulShutdown - Commencing graceful shutdown. Waiting for active requests to complete
2025-07-11 00:51:58.096 INFO  [tomcat-shutdown] o.s.b.w.e.tomcat.GracefulShutdown - Graceful shutdown complete
2025-07-11 00:54:51.567 INFO  [main] org.example.TransfersApplication - Starting TransfersApplication using Java 23.0.2 with PID 55644 (C:\Users\jacsi\Desktop\Projects\JAVA SPRINGBOOT LEARN\fileSharer\AppwithPostgreSQL\target\classes started by jacsi in C:\Users\jacsi\Desktop\Projects\JAVA SPRINGBOOT LEARN\fileSharer\AppwithPostgreSQL)
2025-07-11 00:54:51.567 INFO  [main] org.example.TransfersApplication - No active profile set, falling back to 1 default profile: "default"
2025-07-11 00:54:52.657 INFO  [main] o.s.b.w.e.tomcat.TomcatWebServer - Tomcat initialized with port 8080 (http)
2025-07-11 00:54:52.673 INFO  [main] o.a.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8080"]
2025-07-11 00:54:52.673 INFO  [main] o.a.catalina.core.StandardService - Starting service [Tomcat]
2025-07-11 00:54:52.673 INFO  [main] o.a.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/10.1.42]
2025-07-11 00:54:52.721 INFO  [main] o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2025-07-11 00:54:52.721 INFO  [main] o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 1057 ms
2025-07-11 00:54:53.182 INFO  [main] o.a.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8080"]
2025-07-11 00:54:53.204 INFO  [main] o.s.b.w.e.tomcat.TomcatWebServer - Tomcat started on port 8080 (http) with context path '/'
2025-07-11 00:54:53.214 INFO  [main] org.example.TransfersApplication - Started TransfersApplication in 2.149 seconds (process running for 2.925)
2025-07-11 00:55:12.793 INFO  [SpringApplicationShutdownHook] o.s.b.w.e.tomcat.GracefulShutdown - Commencing graceful shutdown. Waiting for active requests to complete
2025-07-11 00:55:12.801 INFO  [tomcat-shutdown] o.s.b.w.e.tomcat.GracefulShutdown - Graceful shutdown complete
2025-07-11 00:56:23.674 INFO  [main] org.example.TransfersApplication - Starting TransfersApplication using Java 23.0.2 with PID 47796 (C:\Users\jacsi\Desktop\Projects\JAVA SPRINGBOOT LEARN\fileSharer\AppwithPostgreSQL\target\classes started by jacsi in C:\Users\jacsi\Desktop\Projects\JAVA SPRINGBOOT LEARN\fileSharer\AppwithPostgreSQL)
2025-07-11 00:56:23.678 INFO  [main] org.example.TransfersApplication - No active profile set, falling back to 1 default profile: "default"
2025-07-11 00:56:24.997 INFO  [main] o.s.b.w.e.tomcat.TomcatWebServer - Tomcat initialized with port 8080 (http)
2025-07-11 00:56:25.019 INFO  [main] o.a.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8080"]
2025-07-11 00:56:25.028 INFO  [main] o.a.catalina.core.StandardService - Starting service [Tomcat]
2025-07-11 00:56:25.028 INFO  [main] o.a.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/10.1.42]
2025-07-11 00:56:25.090 INFO  [main] o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2025-07-11 00:56:25.092 INFO  [main] o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 1289 ms
2025-07-11 00:56:25.616 INFO  [main] o.a.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8080"]
2025-07-11 00:56:25.645 INFO  [main] o.s.b.w.e.tomcat.TomcatWebServer - Tomcat started on port 8080 (http) with context path '/'
2025-07-11 00:56:25.661 INFO  [main] org.example.TransfersApplication - Started TransfersApplication in 2.578 seconds (process running for 3.368)
2025-07-11 00:56:32.070 INFO  [SpringApplicationShutdownHook] o.s.b.w.e.tomcat.GracefulShutdown - Commencing graceful shutdown. Waiting for active requests to complete
